machine,aug_version,emptyness_version,isVisible_version,Ind-X,model_id,date_trained,val_acc,val_loss,test_acc,test_loss
1080_gpu1,20px,Balanced,62,0,-1,20210320,0.4436796,1.0,0.700964,1.0
1080_gpu0,20px,Balanced,14,0,-1,20210320,0.464367,1.0,0.694662,1.0
1080_gpu1,20px,Balanced,62,0,0,20210325,0.4459132254123688,5.171158790588379,0.6911569237709045,1.8740657567977905
1080_gpu0,20px,Balanced,14,0,0,20210325,0.46706143021583557,5.693108558654785,0.7471071481704712,1.5311329364776611
1080_gpu1,20px,Balanced,62,0,1,20210326,0.44898954033851624,5.591093063354492,0.716589093208313,1.737548828125
1080_gpu0,20px,Balanced,14,0,1,20210326,0.46089860796928406,6.706672668457031,0.7247107028961182,1.9538917541503906
1080_gpu0,20px,Balanced,14,0,2,20210327,0.4467667043209076,5.234395980834961,0.6649869084358215,1.7873916625976562
1080_gpu1,20px,Balanced,62,0,2,20210327,0.4479285776615143,6.153719425201416,0.738696813583374,1.8381441831588745
1080_gpu1,20px,Balanced,62,0,3,20210328,0.4528476297855377,6.192244052886963,0.7134308218955994,1.9519524574279785
1080_gpu0,20px,Balanced,14,0,3,20210328,0.4670306444168091,6.647139549255371,0.729003369808197,1.8869110345840454
1080_gpu0,20px,Balanced,14,0,4,20210329,0.45420724153518677,5.567521095275879,0.7366554737091064,1.5743907690048218
1080_gpu1,20px,Balanced,62,0,4,20210329,0.4580915570259094,5.95205020904541,0.7182513475418091,1.791548490524292
small_9,20px,Balanced,14,0,0,20210327,0.46714353561401367,6.377687454223633,0.7359089255332947,1.7368842363357544
small_9,20px,Balanced,14,0,1,20210328,0.46210962533950806,5.757994651794434,0.6954087615013123,1.723134994506836
small_9,20px,Balanced,14,0,2,20210329,0.4651320278644562,6.472277641296387,0.7344158291816711,1.9740800857543945
small_9,20px,Balanced,14,0,3,20210330,0.44997894763946533,5.619744777679443,0.7136991620063782,1.6253211498260498
small_10,20px,Balanced,62,0,0,20210326,0.4487864673137665,5.177707672119141,0.7127659320831299,1.6971142292022705
small_10,20px,Balanced,62,0,1,20210327,0.4514566659927368,5.325721263885498,0.7265625,1.6405826807022095
small_10,20px,Balanced,62,0,2,20210328,0.43787217140197754,4.488254547119141,0.6665558218955994,1.646649956703186
small_10,20px,Balanced,62,0,3,20210330,0.4617009162902832,6.146132946014404,0.7342087626457214,1.7591794729232788
1080_gpu1,"10,20,30px",Balanced,62,0,0,20210330,0.00,1.0,0.6858377,1.0
1080_gpu1,"10,20,30px",Balanced,14,0,0,20210330,0.00,1.0,0.739455,1.0
