barcode,filecnt
18002,247
18003,19
18009,83
18040,971
18044,28
18062,70
18080,66
18100,3111
18164,4
18166,86
18169,97
18174,548
18175,33
18193,52
18210,2028
18213,50
18230,33
18252,60
18272,360
18292,345
18293,180
18294,459
18320,125
18360,24
18362,11
18380,118
18403,111
18405,2
18408,354
18440,194
18442,398
18448,2
18457,31
18462,1
18465,74
18500,2064
18506,263
18540,233
18543,1
18545,54
18560,43
18562,2268
18563,12
18570,34
18573,65
18577,49
18589,630
18600,4
18602,539
18603,52
18609,40
18617,313
18633,1822
18635,15
18670,74
18674,679
18675,15
18677,31
18680,38
18681,8
18682,581
18692,662
18695,2
18696,202
18698,188
18699,372
18710,9
18715,4
18730,31
18750,1
18770,17
18780,68
18790,62
18810,1
18822,860
18823,103
18825,32
18840,73
18842,2
18843,183
19002,9
19020,8
19041,9
19061,6
19081,8
19082,16
19083,3
19110,7
19111,1
19120,28
19151,15
19161,4
19164,9
19165,2
19166,4
19180,5
19181,2
19200,18
19202,10
19219,3
19220,8
19221,5
19223,7
19225,2
19226,5
19232,4
19300,10
19370,4
21005,5
21009,12
21013,6
21016,7
21017,38
21018,2
21021,13
21023,1
21024,6
21026,20
21033,8
21034,13
21040,27
21042,10
21058,254
21059,61
21066,6
21075,2
21087,3
21088,28
21090,87
21092,101
21093,77
21097,10
21098,22
21104,26
21109,286
21112,4
21126,3
21133,5
21134,104
21183,76
21198,7
21231,94
21237,15
21310,16
21317,8
21369,10
21377,5
21388,6
21394,12
21398,10
21415,63
21424,29
21425,3
21443,21
21455,60
21459,72
21475,14
21482,4
21484,8
21513,5
21528,15
21529,12
21690,72
21700,1
21720,9
21730,6
21740,3
21752,7
21754,12
21761,28
21762,7
21764,11
21767,9
21772,28
21773,15
21788,109
21801,21
21808,62
21824,47
21825,11
21826,39
21829,6
21832,44
21844,2
21848,2
21857,96
21858,9
21867,10
21869,96
21893,105
21914,2
21917,6
21920,93
21922,5
21947,19
21948,38
21957,13
21960,19
21962,3
21965,55
21972,7
21973,11
21974,51
21987,8
21992,74
21993,85
21998,3
21999,15
22015,5
22056,19
22227,2
22628,24
22629,39
22632,2
23683,9
23685,2
